,装备名称,使用者类别,装备类别,升阶级别,强化级别,装备描述,附加物攻,附加魔攻,附加物防,附加魔防,附加hp,附加mp
id,Equipment_name,Equipment_user,Equipment_type,Equipment_rank,Equipment_level,Equipment_describtion,Equipment_att,Equipment_maatt,Equipment_def,Equipment_madef,Equipment_hp,Equipment_mp
3001,木剑,1,1,不可升阶,不可强化,新手装,1,0,0,0,0,0
3002,木弓,2,1,不可升阶,不可强化,新手装,1,0,0,0,0,0
3003,木棍,3,1,不可升阶,不可强化,新手装,0,1,0,0,0,0
3004,木杖,4,1,不可升阶,不可强化,新手装,0,1,0,0,0,0
3005,流光,1,1,1,1,成长性武器,6,0,0,0,0,0
3006,流光,1,1,1,2,成长性武器,7,0,0,0,0,0
3007,流光,1,1,1,3,成长性武器,8,0,0,0,0,0
3008,流光,1,1,1,4,成长性武器,9,0,0,0,0,0
3009,流光,1,1,1,5,成长性武器,10,0,0,0,0,0
3010,流光,1,1,1,6,成长性武器,11,0,0,0,0,0
3011,流光,1,1,1,7,成长性武器,12,0,0,0,0,0
3012,流光,1,1,1,8,成长性武器,13,0,0,0,0,0
3013,流光,1,1,1,9,成长性武器,14,0,0,0,0,0
3014,流光,1,1,1,10,成长性武器,15,0,0,0,0,0
3015,流光,1,1,2,1,成长性武器,22,0,0,0,0,0
3016,流光,1,1,2,2,成长性武器,23,0,0,0,0,0
3017,流光,1,1,2,3,成长性武器,24,0,0,0,0,0
3018,流光,1,1,2,4,成长性武器,25,0,0,0,0,0
3019,流光,1,1,2,5,成长性武器,26,0,0,0,0,0
3020,流光,1,1,2,6,成长性武器,27,0,0,0,0,0
3021,流光,1,1,2,7,成长性武器,28,0,0,0,0,0
3022,流光,1,1,2,8,成长性武器,29,0,0,0,0,0
3023,流光,1,1,2,9,成长性武器,30,0,0,0,0,0
3024,流光,1,1,2,10,成长性武器,31,0,0,0,0,0
3025,流光,1,1,3,1,成长性武器,39,0,0,0,0,0
3026,流光,1,1,3,2,成长性武器,40,0,0,0,0,0
3027,流光,1,1,3,3,成长性武器,41,0,0,0,0,0
3028,流光,1,1,3,4,成长性武器,42,0,0,0,0,0
3029,流光,1,1,3,5,成长性武器,43,0,0,0,0,0
3030,流光,1,1,3,6,成长性武器,44,0,0,0,0,0
3031,流光,1,1,3,7,成长性武器,45,0,0,0,0,0
3032,流光,1,1,3,8,成长性武器,46,0,0,0,0,0
3033,流光,1,1,3,9,成长性武器,47,0,0,0,0,0
3034,流光,1,1,3,10,成长性武器,48,0,0,0,0,0
3035,天弧,2,1,1,1,成长性武器,6,0,0,0,0,0
3036,天弧,2,1,1,2,成长性武器,7,0,0,0,0,0
3037,天弧,2,1,1,3,成长性武器,8,0,0,0,0,0
3038,天弧,2,1,1,4,成长性武器,10,0,0,0,0,0
3039,天弧,2,1,1,5,成长性武器,12,0,0,0,0,0
3040,天弧,2,1,1,6,成长性武器,14,0,0,0,0,0
3041,天弧,2,1,1,7,成长性武器,16,0,0,0,0,0
3042,天弧,2,1,1,8,成长性武器,18,0,0,0,0,0
3043,天弧,2,1,1,9,成长性武器,20,0,0,0,0,0
3044,天弧,2,1,1,10,成长性武器,22,0,0,0,0,0
3045,天弧,2,1,2,1,成长性武器,26,0,0,0,0,0
3046,天弧,2,1,2,2,成长性武器,27,0,0,0,0,0
3047,天弧,2,1,2,3,成长性武器,28,0,0,0,0,0
3048,天弧,2,1,2,4,成长性武器,30,0,0,0,0,0
3049,天弧,2,1,2,5,成长性武器,32,0,0,0,0,0
3050,天弧,2,1,2,6,成长性武器,34,0,0,0,0,0
3051,天弧,2,1,2,7,成长性武器,36,0,0,0,0,0
3052,天弧,2,1,2,8,成长性武器,38,0,0,0,0,0
3053,天弧,2,1,2,9,成长性武器,40,0,0,0,0,0
3054,天弧,2,1,2,10,成长性武器,44,0,0,0,0,0
3055,天弧,2,1,3,1,成长性武器,48,0,0,0,0,0
3056,天弧,2,1,3,2,成长性武器,49,0,0,0,0,0
3057,天弧,2,1,3,3,成长性武器,50,0,0,0,0,0
3058,天弧,2,1,3,4,成长性武器,52,0,0,0,0,0
3059,天弧,2,1,3,5,成长性武器,54,0,0,0,0,0
3060,天弧,2,1,3,6,成长性武器,56,0,0,0,0,0
3061,天弧,2,1,3,7,成长性武器,58,0,0,0,0,0
3062,天弧,2,1,3,8,成长性武器,60,0,0,0,0,0
3063,天弧,2,1,3,9,成长性武器,62,0,0,0,0,0
3064,天弧,2,1,3,10,成长性武器,64,0,0,0,0,0
3065,胧月,3,1,1,1,成长性武器,0,7,0,0,0,0
3066,胧月,3,1,1,2,成长性武器,0,8,0,0,0,0
3067,胧月,3,1,1,3,成长性武器,0,9,0,0,0,0
3068,胧月,3,1,1,4,成长性武器,0,11,0,0,0,0
3069,胧月,3,1,1,5,成长性武器,0,13,0,0,0,0
3070,胧月,3,1,1,6,成长性武器,0,15,0,0,0,0
3071,胧月,3,1,1,7,成长性武器,0,17,0,0,0,0
3072,胧月,3,1,1,8,成长性武器,0,19,0,0,0,0
3073,胧月,3,1,1,9,成长性武器,0,21,0,0,0,0
3074,胧月,3,1,1,10,成长性武器,0,23,0,0,0,0
3075,胧月,3,1,2,1,成长性武器,0,27,0,0,0,0
3076,胧月,3,1,2,2,成长性武器,0,28,0,0,0,0
3077,胧月,3,1,2,3,成长性武器,0,29,0,0,0,0
3078,胧月,3,1,2,4,成长性武器,0,31,0,0,0,0
3079,胧月,3,1,2,5,成长性武器,0,33,0,0,0,0
3080,胧月,3,1,2,6,成长性武器,0,35,0,0,0,0
3081,胧月,3,1,2,7,成长性武器,0,37,0,0,0,0
3082,胧月,3,1,2,8,成长性武器,0,39,0,0,0,0
3083,胧月,3,1,2,9,成长性武器,0,41,0,0,0,0
3084,胧月,3,1,2,10,成长性武器,0,45,0,0,0,0
3085,胧月,3,1,3,1,成长性武器,0,49,0,0,0,0
3086,胧月,3,1,3,2,成长性武器,0,50,0,0,0,0
3087,胧月,3,1,3,3,成长性武器,0,51,0,0,0,0
3088,胧月,3,1,3,4,成长性武器,0,53,0,0,0,0
3089,胧月,3,1,3,5,成长性武器,0,55,0,0,0,0
3090,胧月,3,1,3,6,成长性武器,0,57,0,0,0,0
3091,胧月,3,1,3,7,成长性武器,0,59,0,0,0,0
3092,胧月,3,1,3,8,成长性武器,0,61,0,0,0,0
3093,胧月,3,1,3,9,成长性武器,0,63,0,0,0,0
3094,胧月,3,1,3,10,成长性武器,0,65,0,0,0,0
3095,云渺,4,1,1,1,成长性武器,0,9,0,0,0,0
3096,云渺,4,1,1,2,成长性武器,0,10,0,0,0,0
3097,云渺,4,1,1,3,成长性武器,0,11,0,0,0,0
3098,云渺,4,1,1,4,成长性武器,0,13,0,0,0,0
3099,云渺,4,1,1,5,成长性武器,0,15,0,0,0,0
3100,云渺,4,1,1,6,成长性武器,0,17,0,0,0,0
3101,云渺,4,1,1,7,成长性武器,0,19,0,0,0,0
3102,云渺,4,1,1,8,成长性武器,0,21,0,0,0,0
3103,云渺,4,1,1,9,成长性武器,0,23,0,0,0,0
3104,云渺,4,1,1,10,成长性武器,0,25,0,0,0,0
3105,云渺,4,1,2,1,成长性武器,0,29,0,0,0,0
3106,云渺,4,1,2,2,成长性武器,0,30,0,0,0,0
3107,云渺,4,1,2,3,成长性武器,0,31,0,0,0,0
3108,云渺,4,1,2,4,成长性武器,0,33,0,0,0,0
3109,云渺,4,1,2,5,成长性武器,0,35,0,0,0,0
3110,云渺,4,1,2,6,成长性武器,0,37,0,0,0,0
3111,云渺,4,1,2,7,成长性武器,0,39,0,0,0,0
3112,云渺,4,1,2,8,成长性武器,0,41,0,0,0,0
3113,云渺,4,1,2,9,成长性武器,0,43,0,0,0,0
3114,云渺,4,1,2,10,成长性武器,0,47,0,0,0,0
3115,云渺,4,1,3,1,成长性武器,0,51,0,0,0,0
3116,云渺,4,1,3,2,成长性武器,0,52,0,0,0,0
3117,云渺,4,1,3,3,成长性武器,0,53,0,0,0,0
3118,云渺,4,1,3,4,成长性武器,0,55,0,0,0,0
3119,云渺,4,1,3,5,成长性武器,0,57,0,0,0,0
3120,云渺,4,1,3,6,成长性武器,0,59,0,0,0,0
3121,云渺,4,1,3,7,成长性武器,0,61,0,0,0,0
3122,云渺,4,1,3,8,成长性武器,0,63,0,0,0,0
3123,云渺,4,1,3,9,成长性武器,0,65,0,0,0,0
3124,云渺,4,1,3,10,成长性武器,0,67,0,0,0,0
3125,冥日・头盔,1,2,1,1,成长性头盔,0,0,10,0,40,0
3126,冥日・头盔,1,2,1,2,成长性头盔,0,0,11,0,43,0
3127,冥日・头盔,1,2,1,3,成长性头盔,0,0,12,0,46,0
3128,冥日・头盔,1,2,1,4,成长性头盔,0,0,14,0,52,0
3129,冥日・头盔,1,2,1,5,成长性头盔,0,0,16,0,58,0
3130,冥日・头盔,1,2,1,6,成长性头盔,0,0,18,0,64,0
3131,冥日・头盔,1,2,1,7,成长性头盔,0,0,20,0,70,0
3132,冥日・头盔,1,2,1,8,成长性头盔,0,0,22,0,76,0
3133,冥日・头盔,1,2,1,9,成长性头盔,0,0,24,0,82,0
3134,冥日・头盔,1,2,1,10,成长性头盔,0,0,26,0,88,0
3135,冥日・头盔,1,2,2,1,成长性头盔,0,0,28,0,118,0
3136,冥日・头盔,1,2,2,2,成长性头盔,0,0,29,0,121,0
3137,冥日・头盔,1,2,2,3,成长性头盔,0,0,30,0,124,0
3138,冥日・头盔,1,2,2,4,成长性头盔,0,0,32,0,130,0
3139,冥日・头盔,1,2,2,5,成长性头盔,0,0,34,0,136,0
3140,冥日・头盔,1,2,2,6,成长性头盔,0,0,36,0,142,0
3141,冥日・头盔,1,2,2,7,成长性头盔,0,0,38,0,148,0
3142,冥日・头盔,1,2,2,8,成长性头盔,0,0,40,0,154,0
3143,冥日・头盔,1,2,2,9,成长性头盔,0,0,42,0,160,0
3144,冥日・头盔,1,2,2,10,成长性头盔,0,0,44,0,166,0
3145,冥日・头盔,1,2,3,1,成长性头盔,0,0,46,0,196,0
3146,冥日・头盔,1,2,3,2,成长性头盔,0,0,47,0,199,0
3147,冥日・头盔,1,2,3,3,成长性头盔,0,0,48,0,202,0
3148,冥日・头盔,1,2,3,4,成长性头盔,0,0,49,0,206,0
3149,冥日・头盔,1,2,3,5,成长性头盔,0,0,51,0,210,0
3150,冥日・头盔,1,2,3,6,成长性头盔,0,0,53,0,214,0
3151,冥日・头盔,1,2,3,7,成长性头盔,0,0,55,0,218,0
3152,冥日・头盔,1,2,3,8,成长性头盔,0,0,57,0,222,0
3153,冥日・头盔,1,2,3,9,成长性头盔,0,0,59,0,226,0
3154,冥日・头盔,1,2,3,10,成长性头盔,0,0,61,0,230,0
3155,裁决・头盔,2,2,1,1,成长性头盔,0,0,10,0,40,0
3156,裁决・头盔,2,2,1,2,成长性头盔,0,0,11,0,42,0
3157,裁决・头盔,2,2,1,3,成长性头盔,0,0,12,0,44,0
3158,裁决・头盔,2,2,1,4,成长性头盔,0,0,13,0,49,0
3159,裁决・头盔,2,2,1,5,成长性头盔,0,0,14,0,54,0
3160,裁决・头盔,2,2,1,6,成长性头盔,0,0,15,0,59,0
3161,裁决・头盔,2,2,1,7,成长性头盔,0,0,16,0,64,0
3162,裁决・头盔,2,2,1,8,成长性头盔,0,0,17,0,69,0
3163,裁决・头盔,2,2,1,9,成长性头盔,0,0,18,0,74,0
3164,裁决・头盔,2,2,1,10,成长性头盔,0,0,19,0,79,0
3165,裁决・头盔,2,2,2,1,成长性头盔,0,0,25,0,99,0
3166,裁决・头盔,2,2,2,2,成长性头盔,0,0,26,0,101,0
3167,裁决・头盔,2,2,2,3,成长性头盔,0,0,27,0,103,0
3168,裁决・头盔,2,2,2,4,成长性头盔,0,0,28,0,108,0
3169,裁决・头盔,2,2,2,5,成长性头盔,0,0,29,0,113,0
3170,裁决・头盔,2,2,2,6,成长性头盔,0,0,30,0,118,0
3171,裁决・头盔,2,2,2,7,成长性头盔,0,0,31,0,123,0
3172,裁决・头盔,2,2,2,8,成长性头盔,0,0,32,0,128,0
3173,裁决・头盔,2,2,2,9,成长性头盔,0,0,33,0,133,0
3174,裁决・头盔,2,2,2,10,成长性头盔,0,0,34,0,138,0
3175,裁决・头盔,2,2,3,1,成长性头盔,0,0,40,0,158,0
3176,裁决・头盔,2,2,3,2,成长性头盔,0,0,41,0,160,0
3177,裁决・头盔,2,2,3,3,成长性头盔,0,0,42,0,162,0
3178,裁决・头盔,2,2,3,4,成长性头盔,0,0,43,0,167,0
3179,裁决・头盔,2,2,3,5,成长性头盔,0,0,44,0,172,0
3180,裁决・头盔,2,2,3,6,成长性头盔,0,0,45,0,177,0
3181,裁决・头盔,2,2,3,7,成长性头盔,0,0,46,0,182,0
3182,裁决・头盔,2,2,3,8,成长性头盔,0,0,47,0,187,0
3183,裁决・头盔,2,2,3,9,成长性头盔,0,0,48,0,192,0
3184,裁决・头盔,2,2,3,10,成长性头盔,0,0,49,0,197,0
3185,幽灵・头盔,3,2,1,1,成长性头盔,0,0,8,0,40,0
3186,幽灵・头盔,3,2,1,2,成长性头盔,0,0,9,0,42,0
3187,幽灵・头盔,3,2,1,3,成长性头盔,0,0,10,0,44,0
3188,幽灵・头盔,3,2,1,4,成长性头盔,0,0,11,0,49,0
3189,幽灵・头盔,3,2,1,5,成长性头盔,0,0,12,0,54,0
3190,幽灵・头盔,3,2,1,6,成长性头盔,0,0,13,0,59,0
3191,幽灵・头盔,3,2,1,7,成长性头盔,0,0,14,0,64,0
3192,幽灵・头盔,3,2,1,8,成长性头盔,0,0,15,0,69,・
3193,幽灵・头盔,3,2,1,9,成长性头盔,0,0,16,0,74,0
3194,幽灵・头盔,3,2,1,10,成长性头盔,0,0,17,0,79,0
3195,幽灵・头盔,3,2,2,1,成长性头盔,0,0,23,0,92,0
3196,幽灵・头盔,3,2,2,2,成长性头盔,0,0,24,0,94,0
3197,幽灵・头盔,3,2,2,3,成长性头盔,0,0,25,0,96,0
3198,幽灵・头盔,3,2,2,4,成长性头盔,0,0,26,0,101,0
3199,幽灵・头盔,3,2,2,5,成长性头盔,0,0,27,0,106,0
3200,幽灵・头盔,3,2,2,6,成长性头盔,0,0,28,0,111,0
3201,幽灵・头盔,3,2,2,7,成长性头盔,0,0,29,0,116,0
3202,幽灵・头盔,3,2,2,8,成长性头盔,0,0,30,0,121,0
3203,幽灵・头盔,3,2,2,9,成长性头盔,0,0,31,0,126,0
3204,幽灵・头盔,3,2,2,10,成长性头盔,0,0,32,0,131,0
3205,幽灵・头盔,3,2,3,1,成长性头盔,0,0,38,0,144,0
3206,幽灵・头盔,3,2,3,2,成长性头盔,0,0,39,0,146,0
3207,幽灵・头盔,3,2,3,3,成长性头盔,0,0,40,0,148,0
3208,幽灵・头盔,3,2,3,4,成长性头盔,0,0,41,0,153,0
3209,幽灵・头盔,3,2,3,5,成长性头盔,0,0,42,0,158,0
3210,幽灵・头盔,3,2,3,6,成长性头盔,0,0,43,0,163,0
3211,幽灵・头盔,3,2,3,7,成长性头盔,0,0,44,0,168,0
3212,幽灵・头盔,3,2,3,8,成长性头盔,0,0,45,0,173,0
3213,幽灵・头盔,3,2,3,9,成长性头盔,0,0,46,0,178,0
3214,幽灵・头盔,3,2,3,10,成长性头盔,0,0,47,0,183,0
3215,幽灵・头盔,4,2,1,1,成长性头盔,0,0,3,0,20,0
3216,幽灵・头盔,4,2,1,2,成长性头盔,0,0,4,0,22,0
3217,幽灵・头盔,4,2,1,3,成长性头盔,0,0,5,0,24,0
3218,幽灵・头盔,4,2,1,4,成长性头盔,0,0,6,0,28,0
3219,幽灵・头盔,4,2,1,5,成长性头盔,0,0,7,0,32,0
3220,星陨・头盔,4,2,1,6,成长性头盔,0,0,8,0,36,0
3221,星陨・头盔,4,2,1,7,成长性头盔,0,0,9,0,40,0
3222,星陨・头盔,4,2,1,8,成长性头盔,0,0,10,0,44,0
3223,星陨・头盔,4,2,1,9,成长性头盔,0,0,11,0,48,0
3224,星陨・头盔,4,2,1,10,成长性头盔,0,0,12,0,52,0
3225,星陨・头盔,4,2,2,1,成长性头盔,0,0,16,0,69,0
3226,星陨・头盔,4,2,2,2,成长性头盔,0,0,17,0,71,0
3227,星陨・头盔,4,2,2,3,成长性头盔,0,0,18,0,73,0
3228,星陨・头盔,4,2,2,4,成长性头盔,0,0,19,0,77,0
3229,星陨・头盔,4,2,2,5,成长性头盔,0,0,20,0,81,0
3230,星陨・头盔,4,2,2,6,成长性头盔,0,0,21,0,85,0
3231,星陨・头盔,4,2,2,7,成长性头盔,0,0,22,0,89,0
3232,星陨・头盔,4,2,2,8,成长性头盔,0,0,23,0,93,0
3233,星陨・头盔,4,2,2,9,成长性头盔,0,0,24,0,97,0
3234,星陨・头盔,4,2,2,10,成长性头盔,0,0,25,0,101,0
3235,星陨・头盔,4,2,3,1,成长性头盔,0,0,29,0,118,0
3236,星陨・头盔,4,2,3,2,成长性头盔,0,0,30,0,120,0
3237,星陨・头盔,4,2,3,3,成长性头盔,0,0,31,0,122,0
3238,星陨・头盔,4,2,3,4,成长性头盔,0,0,32,0,126,0
3239,星陨・头盔,4,2,3,5,成长性头盔,0,0,33,0,130,0
3240,星陨・头盔,4,2,3,6,成长性头盔,0,0,34,0,134,0
3241,星陨・头盔,4,2,3,7,成长性头盔,0,0,35,0,138,0
3242,星陨・头盔,4,2,3,8,成长性头盔,0,0,36,0,142,0
3243,星陨・头盔,4,2,3,9,成长性头盔,0,0,37,0,146,0
3244,星陨・头盔,4,2,3,10,成长性头盔,0,0,38,0,150,0
3245,冥日・甲,1,3,1,1,成长性衣服,0,0,0,3,0,8
3246,冥日・甲,1,3,1,2,成长性衣服,0,0,0,4,0,9
3247,冥日・甲,1,3,1,3,成长性衣服,0,0,0,5,0,10
3248,冥日・甲,1,3,1,4,成长性衣服,0,0,0,6,0,11
3249,冥日・甲,1,3,1,5,成长性衣服,0,0,0,7,0,12
3250,冥日・甲,1,3,1,6,成长性衣服,0,0,0,8,0,13
3251,冥日・甲,1,3,1,7,成长性衣服,0,0,0,9,0,14
3252,冥日・甲,1,3,1,8,成长性衣服,0,0,0,10,0,15
3253,冥日・甲,1,3,1,9,成长性衣服,0,0,0,11,0,16
3254,冥日・甲,1,3,1,10,成长性衣服,0,0,0,12,0,17
3255,冥日・甲,1,3,2,1,成长性衣服,0,0,0,16,0,22
3256,冥日・甲,1,3,2,2,成长性衣服,0,0,0,17,0,23
3257,冥日・甲,1,3,2,3,成长性衣服,0,0,0,18,0,24
3258,冥日・甲,1,3,2,4,成长性衣服,0,0,0,19,0,25
3259,冥日・甲,1,3,2,5,成长性衣服,0,0,0,20,0,26
3260,冥日・甲,1,3,2,6,成长性衣服,0,0,0,21,0,27
3261,冥日・甲,1,3,2,7,成长性衣服,0,0,0,22,0,28
3262,冥日・甲,1,3,2,8,成长性衣服,0,0,0,23,0,29
3263,冥日・甲,1,3,2,9,成长性衣服,0,0,0,24,0,30
3264,冥日・甲,1,3,2,10,成长性衣服,0,0,0,25,0,31
3265,冥日・甲,1,3,3,1,成长性衣服,0,0,0,29,0,36
3266,冥日・甲,1,3,3,2,成长性衣服,0,0,0,30,0,37
3267,冥日・甲,1,3,3,3,成长性衣服,0,0,0,31,0,38
3268,冥日・甲,1,3,3,4,成长性衣服,0,0,0,32,0,39
3269,冥日・甲,1,3,3,5,成长性衣服,0,0,0,33,0,40
3270,冥日・甲,1,3,3,6,成长性衣服,0,0,0,34,0,41
3271,冥日・甲,1,3,3,7,成长性衣服,0,0,0,35,0,42
3272,冥日・甲,1,3,3,8,成长性衣服,0,0,0,36,0,43
3273,冥日・甲,1,3,3,9,成长性衣服,0,0,0,37,0,44
3274,冥日・甲,1,3,3,10,成长性衣服,0,0,0,38,0,45
3275,裁决・甲,2,3,1,1,成长性衣服,0,0,0,8,0,8
3276,裁决・甲,2,3,1,2,成长性衣服,0,0,0,9,0,9
3277,裁决・甲,2,3,1,3,成长性衣服,0,0,0,10,0,10
3278,裁决・甲,2,3,1,4,成长性衣服,0,0,0,11,0,11
3279,裁决・甲,2,3,1,5,成长性衣服,0,0,0,12,0,12
3280,裁决・甲,2,3,1,6,成长性衣服,0,0,0,13,0,14
3281,裁决・甲,2,3,1,7,成长性衣服,0,0,0,14,0,16
3282,裁决・甲,2,3,1,8,成长性衣服,0,0,0,15,0,18
3283,裁决・甲,2,3,1,9,成长性衣服,0,0,0,16,0,20
3284,裁决・甲,2,3,1,10,成长性衣服,0,0,0,17,0,22
3285,裁决・甲,2,3,2,1,成长性衣服,0,0,0,23,0,27
3286,裁决・甲,2,3,2,2,成长性衣服,0,0,0,24,0,28
3287,裁决・甲,2,3,2,3,成长性衣服,0,0,0,25,0,29
3288,裁决・甲,2,3,2,4,成长性衣服,0,0,0,26,0,30
3289,裁决・甲,2,3,2,5,成长性衣服,0,0,0,27,0,31
3290,裁决・甲,2,3,2,6,成长性衣服,0,0,0,28,0,33
3291,裁决・甲,2,3,2,7,成长性衣服,0,0,0,29,0,35
3292,裁决・甲,2,3,2,8,成长性衣服,0,0,0,30,0,37
3293,裁决・甲,2,3,2,9,成长性衣服,0,0,0,31,0,39
3294,裁决・甲,2,3,2,10,成长性衣服,0,0,0,32,0,41
3295,裁决・甲,2,3,3,1,成长性衣服,0,0,0,38,0,46
3296,裁决・甲,2,3,3,2,成长性衣服,0,0,0,39,0,47
3297,裁决・甲,2,3,3,3,成长性衣服,0,0,0,40,0,48
3298,裁决・甲,2,3,3,4,成长性衣服,0,0,0,41,0,49
3299,裁决・甲,2,3,3,5,成长性衣服,0,0,0,42,0,50
3300,裁决・甲,2,3,3,6,成长性衣服,0,0,0,43,0,52
3301,裁决・甲,2,3,3,7,成长性衣服,0,0,0,44,0,54
3302,裁决・甲,2,3,3,8,成长性衣服,0,0,0,45,0,56
3303,裁决・甲,2,3,3,9,成长性衣服,0,0,0,46,0,58
3304,裁决・甲,2,3,3,10,成长性衣服,0,0,0,47,0,60
3305,幽灵・甲,3,3,1,1,成长性衣服,0,0,0,11,0,8
3306,幽灵・甲,3,3,1,2,成长性衣服,0,0,0,12,0,9
3307,幽灵・甲,3,3,1,3,成长性衣服,0,0,0,13,0,10
3308,幽灵・甲,3,3,1,4,成长性衣服,0,0,0,14,0,12
3309,幽灵・甲,3,3,1,5,成长性衣服,0,0,0,15,0,14
3310,幽灵・甲,3,3,1,6,成长性衣服,0,0,0,16,0,16
3311,幽灵・甲,3,3,1,7,成长性衣服,0,0,0,17,0,18
3312,幽灵・甲,3,3,1,8,成长性衣服,0,0,0,18,0,20
3313,幽灵・甲,3,3,1,9,成长性衣服,0,0,0,19,0,22
3314,幽灵・甲,3,3,1,10,成长性衣服,0,0,0,20,0,24
3315,幽灵・甲,3,3,2,1,成长性衣服,0,0,0,27,0,30
3316,幽灵・甲,3,3,2,2,成长性衣服,0,0,0,28,0,31
3317,幽灵・甲,3,3,2,3,成长性衣服,0,0,0,29,0,32
3318,幽灵・甲,3,3,2,4,成长性衣服,0,0,0,30,0,34
3319,幽灵・甲,3,3,2,5,成长性衣服,0,0,0,31,0,36
3320,幽灵・甲,3,3,2,6,成长性衣服,0,0,0,32,0,38
3321,幽灵・甲,3,3,2,7,成长性衣服,0,0,0,33,0,40
3322,幽灵・甲,3,3,2,8,成长性衣服,0,0,0,34,0,42
3323,幽灵・甲,3,3,2,9,成长性衣服,0,0,0,35,0,44
3324,幽灵・甲,3,3,2,10,成长性衣服,0,0,0,36,0,46
3325,幽灵・甲,3,3,3,1,成长性衣服,0,0,0,43,0,52
3326,幽灵・甲,3,3,3,2,成长性衣服,0,0,0,44,0,53
3327,幽灵・甲,3,3,3,3,成长性衣服,0,0,0,45,0,54
3328,幽灵・甲,3,3,3,4,成长性衣服,0,0,0,46,0,56
3329,幽灵・甲,3,3,3,5,成长性衣服,0,0,0,47,0,58
3330,幽灵・甲,3,3,3,6,成长性衣服,0,0,0,48,0,60
3331,幽灵・甲,3,3,3,7,成长性衣服,0,0,0,49,0,62
3332,幽灵・甲,3,3,3,8,成长性衣服,0,0,0,50,0,64
3333,幽灵・甲,3,3,3,9,成长性衣服,0,0,0,51,0,66
3334,幽灵・甲,3,3,3,10,成长性衣服,0,0,0,52,0,68
3335,星陨・甲,4,3,1,1,成长性衣服,0,0,0,10,0,14
3336,星陨・甲,4,3,1,2,成长性衣服,0,0,0,12,0,16
3337,星陨・甲,4,3,1,3,成长性衣服,0,0,0,14,0,18
3338,星陨・甲,4,3,1,4,成长性衣服,0,0,0,16,0,20
3339,星陨・甲,4,3,1,5,成长性衣服,0,0,0,18,0,22
3340,星陨・甲,4,3,1,6,成长性衣服,0,0,0,20,0,24
3341,星陨・甲,4,3,1,7,成长性衣服,0,0,0,22,0,26
3342,星陨・甲,4,3,1,8,成长性衣服,0,0,0,24,0,28
3343,星陨・甲,4,3,1,9,成长性衣服,0,0,0,26,0,30
3344,星陨・甲,4,3,1,10,成长性衣服,0,0,0,28,0,32
3345,星陨・甲,4,3,2,1,成长性衣服,0,0,0,30,0,43
3346,星陨・甲,4,3,2,2,成长性衣服,0,0,0,32,0,45
3347,星陨・甲,4,3,2,3,成长性衣服,0,0,0,34,0,47
3348,星陨・甲,4,3,2,4,成长性衣服,0,0,0,36,0,49
3349,星陨・甲,4,3,2,5,成长性衣服,0,0,0,38,0,51
3350,星陨・甲,4,3,2,6,成长性衣服,0,0,0,40,0,53
3351,星陨・甲,4,3,2,7,成长性衣服,0,0,0,42,0,55
3352,星陨・甲,4,3,2,8,成长性衣服,0,0,0,44,0,57
3353,星陨・甲,4,3,2,9,成长性衣服,0,0,0,46,0,59
3354,星陨・甲,4,3,2,10,成长性衣服,0,0,0,48,0,61
3355,星陨・甲,4,3,3,1,成长性衣服,0,0,0,50,0,72
3356,星陨・甲,4,3,3,2,成长性衣服,0,0,0,52,0,74
3357,星陨・甲,4,3,3,3,成长性衣服,0,0,0,54,0,76
3358,星陨・甲,4,3,3,4,成长性衣服,0,0,0,56,0,78
3359,星陨・甲,4,3,3,5,成长性衣服,0,0,0,58,0,80
3360,星陨・甲,4,3,3,6,成长性衣服,0,0,0,60,0,82
3361,星陨・甲,4,3,3,7,成长性衣服,0,0,0,62,0,84
3362,星陨・甲,4,3,3,8,成长性衣服,0,0,0,64,0,86
3363,星陨・甲,4,3,3,9,成长性衣服,0,0,0,66,0,88
3364,星陨・甲,4,3,3,10,成长性衣服,0,0,0,68,0,90
